ID,Name,Treatment,Time,Total_CopyNo,Total_StdDev,Desulfo_CopyNo,Desulfo_StdDev,Hydrogeno_CopyNo,Hydrogeno_StdDev,Thermo_CopyNo,Thermo_StdDev,Sulfuritalea_CopyNo,Sulfuritalea_StdDev,Thiobacillus_CopyNo,Thiobacillus_StdDev
Initial,Initial,Glass,0,6913.333333,608.4041055,3156.333333,205.150893,7,1.414213562,1227.333333,86.83445297,18.96640693,0.427483143,12.64238095,1.106574254
G24hrs,Glass 24hr,Glass,24,25833.33333,10170.65496,10733.66667,4637.542548,79.66666667,48.47909057,4602,1533.480355,102.0619048,36.23668443,50.08917749,24.73072444
GMax,Glass 96hr,Glass,Max,191000,93363.09049,9880.333333,4157.943429,66982.66667,36214.45772,4806,1342.906549,282.8268398,42.2220693,330.8744589,144.1826742
Initial,Initial,Rock Anoxic,0,6913.333333,608.4041055,3156.333333,205.150893,7,1.414213562,1227.333333,86.83445297,18.96640693,0.427483143,12.64238095,1.106574254
TAn24hrs,RockAnoxic 24hr,Rock Anoxic,24,1785.666667,577.6136733,1249.333333,468.6024138,4.333333333,1.699673171,89,30.24345659,1.547099567,0.561460083,2.538640693,0.868208479
TAnMax,RockAnoxic 168hr,Rock Anoxic,Max,63700,22273.45206,4031.333333,1306.535453,27839,8329.376487,361,174.3922781,90.85064935,50.95348232,503.6350649,244.0033425
Initial,Initial,Rock Oxic,0,6913.333333,608.4041055,3156.333333,205.150893,7,1.414213562,1227.333333,86.83445297,18.96640693,0.427483143,12.64238095,1.106574254
TO24hrs,RockOxic 24hr,Rock Oxic,24,1362,1168.552381,975.6666667,820.3159283,3.666666667,3.299831646,65,59.11006682,1.360822511,1.186758393,1.672251082,1.197227966
TOMax,RockOxic 96hr,Rock Oxic,Max,28700,7176.350047,2882,505.3243183,13453.33333,2044.298956,199.3333333,52.66455692,82.91428572,5.970225784,18.81038961,0.519688272
Initial,Initial,Water,0,6913.333333,608.4041055,3156.333333,205.150893,7,1.414213562,1227.333333,86.83445297,18.96640693,0.427483143,12.64238095,1.106574254
W24hrs,Water 24hr,Water,24,32333.33333,5144.14446,12418,1602.401531,196,34.65063732,5356.333333,1214.060496,162.2251082,35.42479378,113.6467532,16.2545651
Wmax,Water 96hr,Water,Max,87800,5981.638571,8853.666667,1534.488912,42308.66667,2629.565406,4801.666667,405.4547516,485.0142857,90.01061819,2561.461039,674.1371301
