"denoised","nonchim"
"348471_157-TAn1L_S193_joined",396238,352696
"348471_158-G1L_S65_joined",441035,353591
"348471_159-W1L_S59_joined",396409,308998
"348471_160-TO1L_S64_joined",381426,336496
"348471_161-TO5_2_S53_joined",346674,337566
"348471_162-TO5_3_S85_joined",296777,295118
"348471_163-W5_3_S82_joined",430152,386955
"348471_164-G5_2_S107_joined",424239,377052
"348471_165-G5_3_S121_joined",506368,445124
"348471_166-TAn5_1_S206_joined",376455,365120
"348471_167-TAn5_2_S146_joined",276393,274824
"348471_168-Kit_Blank_1_S167_joined",40,40
"348471_169-W5_1_S2_joined",406663,373332
"348471_170-W5_2_S55_joined",300266,288821
"348471_171-G5_1_S173_joined",460179,418865
"348471_172-W4_1_S95_joined",413658,367828
"348471_173-W4_3_S14_joined",405159,363440
"348471_174-G4_1_S210_joined",353285,316343
"348471_175-W4_2_S72_joined",360382,323828
"348471_176-TO4_1_S154_joined",159378,156868
"348471_177-TAn4_3_S142_joined",295594,294248
"348471_178-TO5_1_S168_joined",392728,380359
"348471_179-TAn5_3_S60_joined",310880,307003
"348471_180-PCR_Blank_1_S199_joined",6,6
"348471_181-Kit_Blank_2_S208_joined",48,48
"348471_182-G1_2_S39_joined",364816,353239
"348471_183-G1_3_S25_joined",345346,335867
"348471_184-G4_2_S207_joined",352725,298980
"348471_185-G4_3_S141_joined",220420,216897
"348471_186-TO1_1_S164_joined",249659,248966
"348471_187-TO1_3_S34_joined",307936,306745
"348471_188-TO4_2_S115_joined",240592,236833
"348471_189-TO4_3_S87_joined",345998,329942
"348471_190-TAn4_1_S29_joined",330480,306154
"348471_191-TAn4_2_S7_joined",406482,380962
"348471_192-W1_3_S151_joined",332621,320755
"348471_193-Kit_Blank_3_S215_joined",29,29
"348471_194-TAn1_2_S140_joined",296526,294418
"348471_195-TAn1_3_S68_joined",290593,288908
"348471_196-TAn1_1_S165_joined",278151,276488
"348471_197-TAn2_1_S187_joined",253196,252564
"348471_198-W1_1_S57_joined",307219,299189
"348471_199-W1_2_S12_joined",353931,343880
"348471_200-W2_2_S51_joined",318486,308727
"348471_201-W2_3_S66_joined",367201,342614
"348471_202-G1_1_S27_joined",391251,379711
"348471_203-G2_3_S175_joined",420894,399145
"348471_204-PCR_Blank_2_S11_joined",162,162
"348471_205-TO1_2_S23_joined",275944,274142
"348471_206-Kit_Blank_4_S79_joined",51,51
"348471_207-t0_1_S225_joined",434403,366894
"348471_208-t0_2_S169_joined",401986,340301
"348471_209-t0_3_S229_joined",436461,366710
"348471_210-W3_2_S181_joined",404658,362122
"348471_211-W3_3_S174_joined",344258,317331
"348471_212-G3_1_S13_joined",371564,326804
"348471_213-G3_2_S179_joined",407562,375564
"348471_214-G3_3_S191_joined",422442,370668
"348471_215-TO3_1_S201_joined",421242,392850
"348471_216-TO3_3_S70_joined",380434,366521
"348471_217-TAn3_2_S40_joined",321957,320851
"348471_218-Kit_Blank_5_S166_joined",209,209
"348471_219-W2_1_S43_joined",331206,320724
"348471_220-W3_1_S219_joined",334687,327921
"348471_221-G2_1_S35_joined",394751,387729
"348471_222-G2_2_S99_joined",393073,385607
"348471_223-TO2_1_S105_joined",342328,339463
"348471_224-TO2_2_S32_joined",306847,305884
"348471_225-TO2_3_S216_joined",250958,250744
"348471_226-TO3_2_S21_joined",346676,333568
"348471_227-TAn2_2_S114_joined",293645,292232
"348471_228-TAn2_3_S130_joined",325570,324209
"348471_229-TAn3_1_S200_joined",212351,211112
"348471_230-TAn3_3_S42_joined",332003,321559
"348471_231-PCR_Blank_3_S123_joined",283,283
