ID,Name,Type,Time,Total_CopyNo,CopyNumStdDev,Desulfo_CopyNo,Hydrogeno_CopyNo,Thermo_CopyNo
G1_1,Glass 24hr,Glass,24,39900,7450,17243,145,6633
G1_2,Glass 24hr,Glass,24,16200,1120,6785,65,2928
G1_3,Glass 24hr,Glass,24,21400,242,8173,29,4245
G3_3,Glass 96hr,Glass,96,106000,4790,6220,26876,4189
G4_1,Glass 168hr,Glass,168,146000,16600,7725,59453,3559
G4_2,Glass 168hr,Glass,168,321000,17300,15696,114619,6670
t0_1,t0,Initial,0,7650,905,3259,6,1350
t0_2,t0,Initial,0,6930,4950,3340,9,1161
t0_3,t0,Initial,0,6160,209,2870,6,1171
TAn1_1,RockAnoxic 24hr,RockAnoxic,24,2290,68.4,1628,5,127
TAn1_2,RockAnoxic 24hr,RockAnoxic,24,2090,166,1531,6,87
TAn1_3,RockAnoxic 24hr,RockAnoxic,24,977,29.1,589,2,53
TAn4_1,RockAnoxic 168hr,RockAnoxic,168,89700,3900,5253,35511,536
TAn4_2,RockAnoxic 168hr,RockAnoxic,168,66100,2670,4621,31744,424
TAn5_1,RockAnoxic 240hr,RockAnoxic,240,35300,2310,2220,16262,123
TO1_1,RockOxic 24hr,RockOxic,24,126,6.4,97,0,4
TO1_2,RockOxic 24hr,RockOxic,24,2930,274,2071,8,145
TO1_3,RockOxic 24hr,RockOxic,24,1030,34.5,759,3,46
TO3_1,RockOxic 96hr,RockOxic,96,38700,1890,3539,15598,199
TO3_2,RockOxic 96hr,RockOxic,96,22200,521,2310,10702,135
TO3_3,RockOxic 96hr,RockOxic,96,25200,1190,2797,14060,264
W1_1,Water 24hr,Water,24,28400,969,11878,171,3987
W1_2,Water 24hr,Water,24,29000,551,10782,172,5144
W1_3,Water 24hr,Water,24,39600,11200,14594,245,6938
W3_2,Water 96hr,Water,96,81900,3370,6706,38676,4602
W4_1,Water 168hr,Water,168,96000,3490,9658,44814,5367
W4_3,Water 168hr,Water,168,85500,5740,10197,43436,4436
